Nama Lokasi,Latitude,Longitude,Alamat,Rating,Deskripsi,Jam Operasional,Image_Path,Image_Status
Yunna Hotel Lampung,-5.4454946,105.265782,"Jl. Ikan Hiu No.1, Tlk. Betung, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35211 ","4,3 bintang ","4,3
(2.222)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Yunna_Hotel_Lampung.jpg,SUCCESS
Hotel Horison Lampung,-5.4150767,105.2551234,"Jl. Kartini No.88, Palapa, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35111 ","4,4 bintang ","4,4
(8.889)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Hotel_Horison_Lampung.jpg,SUCCESS
Aston Lampung City Hotel,-5.4362955,105.2864356,"Jl. Gatot Subroto No.81, Garuntang, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35228 ","4,3 bintang ","4,3
(6.929)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Aston_Lampung_City_Hotel.jpg,SUCCESS
MAHAN KEDATON HOTEL LAMPUNG,-5.3948023,105.2634198,"Jl. Pahlawan No.33, Surabaya, Kec. Kedaton, Kota Bandar Lampung, Lampung 35122 ","4,7 bintang ","4,7
(97)",,..\images-wisata-lampung\20250816_002328_MAHAN_KEDATON_HOTEL_LAMPUNG.jpg,SUCCESS
Hotel Santika Premiere Lampung,-5.4429288,105.2809434,"Jl. Yos Sudarso No.80, Bumi Waras, Kec. Bumi Waras, Kota Bandar Lampung, Lampung 35225 ","4,7 bintang ","4,7
(1.501)
·Hotel bintang 4",,..\images-wisata-lampung\20250816_002328_Hotel_Santika_Premiere_Lampung.jpg,SUCCESS
BATIQA Hotel Lampung,-5.4231152,105.2709735,"Jalan Jenderal Sudirman.140 Pahoman Tanjung Karang, Pahoman, Engal, Kota Bandar Lampung, Lampung 35213 ","4,5 bintang ","4,5
(6.438)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_BATIQA_Hotel_Lampung.jpg,SUCCESS
Hotel Golden Tulip Springhill Lampung,-5.4401281,105.2546648,"Jl. Basuki Rahmat No.16, Sumur Putri, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35211 ","4,8 bintang ","4,8
(8.313)
·Hotel bintang 4",,..\images-wisata-lampung\20250816_002328_Hotel_Golden_Tulip_Springhill_Lampung.jpg,SUCCESS
Kyriad M2 Lampung,-5.4285625,105.2354375,"Jl. Raden Imba Kusuma, Sumur Putri, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung ","4,5 bintang ","4,5
(636)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Kyriad_M2_Lampung.jpg,SUCCESS
Elephant Inn and Suite by Sajiwa,-5.4245251,105.2733511,"Jl. Gatot Subroto No.26B, Pahoman, Engal, Kota Bandar Lampung, Lampung 35213 ","4,7 bintang ","4,7
(154)",,..\images-wisata-lampung\20250816_002328_Elephant_Inn_and_Suite_by_Sajiwa.jpg,SUCCESS
Emersia Hotel & Resort,-5.4262877,105.2512204,"Jl. Wolter Monginsidi No.70, Pengajaran, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35214 ","4,6 bintang ","4,6
(6.501)
·Hotel bintang 4",,..\images-wisata-lampung\20250816_002328_Emersia_Hotel_Resort.jpg,SUCCESS
POP! Hotel Tanjung Karang - Lampung,-5.4244811,105.251211,"Jl. Wolter Monginsidi No.56, Tj. Karang, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35214 ","4,1 bintang ","4,1
(5.388)
·Hotel bintang 2",,..\images-wisata-lampung\20250816_002328_POP_Hotel_Tanjung_Karang_-_Lampung.jpg,SUCCESS
Azana Boutique Hotel Lampung,-5.4226716,105.2692778,"Jl Jenderal Sudirman No.67 Rawa Laut, Enggal, Kota Bandar Lampung, Lampung 35127 ","4,8 bintang ","4,8
(191)",,..\images-wisata-lampung\20250816_002328_Azana_Boutique_Hotel_Lampung.jpg,SUCCESS
Soeltan Luxe Hotel,-5.3963819,105.2900705,"Jl.Soekarno Hatta.50 By Pass Bandar Lampung Sumatra, Lampung 35122 ","4,2 bintang ","4,2
(2.053)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Soeltan_Luxe_Hotel.jpg,SUCCESS
Amalia Hotel,-5.4159193,105.258528,"Jl. Raden Intan No.55, Enggal, Engal, Kota Bandar Lampung, Lampung 35213 ","4,4 bintang ","4,4
(3.926)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Amalia_Hotel.jpg,SUCCESS
Hotel Bong Gajah Lampung (Urbanview Hotels),-5.4162614,105.2672273,"Perum Gading Jaya Jl. Gajah Mada No.1 Blok A No 1-2, RW.2, Kota Baru, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35128 ","4,7 bintang ","4,7
(147)",,..\images-wisata-lampung\20250816_002328_Hotel_Bong_Gajah_Lampung_Urbanview_Hotels.jpg,SUCCESS
Arte hotel bandar lampung,-5.4215006,105.2554675,"Jl. Jenderal Ahmad Yani No.21, Enggal, Engal, Kota Bandar Lampung, Lampung 35111 ","4,3 bintang ","4,3
(4.380)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Arte_hotel_bandar_lampung.jpg,SUCCESS
Asoka Luxury Hotel,-5.4040261,105.2769635,"Jl. Pulau Morotai No.16B, Jagabaya III, Kec. Way Halim, Kota Bandar Lampung, Lampung 35133 ","4,2 bintang ","4,2
(3.320)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Asoka_Luxury_Hotel.jpg,SUCCESS
Hotel Sahid Bandar Lampung,-5.4459759,105.2958407,"Jl. Yos Sudarso No.294, Sukaraja, Kec. Bumi Waras, Kota Bandar Lampung, Lampung 35226 ","3,6 bintang ","3,6
(1.720)
·Hotel bintang 3",,..\images-wisata-lampung\20250816_002328_Hotel_Sahid_Bandar_Lampung.jpg,SUCCESS
