Nama Lokasi,Latitude,Longitude,Alamat,Rating,Deskripsi,Jam Operasional,Image_Path,Image_Status
Nasi Uduk Toha Kartini,-5.4117801,105.2562781,"Jl. Kartini No.105, Tj. Karang, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35127 ","4,5 bintang ","4,5
(6.043)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Nasi_Uduk_Toha_Kartini.jpg,SUCCESS
Kampung Kecil Lampung,-5.4287682,105.2755746,"Jl. Gatot Subroto No.40, Pahoman, Engal, Kota Bandar Lampung, Lampung 35213 ","4,8 bintang ","4,8
(4.124)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Kampung_Kecil_Lampung.jpg,SUCCESS
Skaye Lampung Cafe and Resto,-5.4122384,105.2636028,"Jl. Bukit Randu, Kb. Jeruk, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35121 ","4,8 bintang ","4,8
(2.246)
·$$",,..\images-wisata-lampung\20250816_002328_Skaye_Lampung_Cafe_and_Resto.jpg,SUCCESS
RM. Mbok Wito Way Halim,-5.3866609,105.2814758,"Jl. Arif Rahman Hakim No.16, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35122 ","4,4 bintang ","4,4
(4.855)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_RM_Mbok_Wito_Way_Halim.jpg,SUCCESS
EWOK KULINER LAMPUNG Rating Tertinggi,-5.3988061,105.2073356,"Jl. Teuku cik ditiro, Jl. Cikditiro Jl. Perum Wismamas No.11 blok G2, Kota Bandar Lampung, Lampung 35158 ","4,5 bintang ","4,5
(730)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_EWOK_KULINER_LAMPUNG_Rating_Tertinggi.jpg,SUCCESS
Alas Cobek - Restoran Keluarga & Nasi Kotak,-5.4257636,105.2513562,"Jl. Wolter Monginsidi No.67, Pengajaran, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212 ","4,6 bintang ","4,6
(1.147)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Alas_Cobek_-_Restoran_Keluarga_Nasi_Kotak.jpg,SUCCESS
Rumah Makan New LG Pahoman,-5.4268278,105.2677761,"Jl. Way Sekampung No.1, Rw. Laut, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35213 ","4,5 bintang ","4,5
(4.296)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Rumah_Makan_New_LG_Pahoman.jpg,SUCCESS
Waroeng Diggers,-5.4333834,105.2746925,"Komplek Besi Baja, Jl. Way Sungkai, Pahoman, Engal, Kota Bandar Lampung, Lampung 35213 ","4,3 bintang ","4,3
(2.675)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Waroeng_Diggers.jpg,SUCCESS
Cikwo Kuliner Khas Lampung,-5.3736154,105.2738756,"Kimaja Icon), samping Indomaret, 50m sebelum fly over, Jl. Ki Maja, Sepang Jaya, Labuhan Ratu, Kota Bandar Lampung, Lampung 35132 ","4,6 bintang ","4,6
(508)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Cikwo_Kuliner_Khas_Lampung.jpg,SUCCESS
Kuliner Jogja La Rise,-5.3946942,105.2815425,"Jl. Arif Rahman Hakim No.83, Jagabaya III, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122 ","4,3 bintang ","4,3
(528)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Kuliner_Jogja_La_Rise.jpg,SUCCESS
Randu Resto Lampung,-5.4121327,105.2638397,"2a, Jl. Kamboja No.1, Kb. Jeruk, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35125 ","4,6 bintang ","4,6
(1.913)
·$$",,..\images-wisata-lampung\20250816_002328_Randu_Resto_Lampung.jpg,SUCCESS
Pindang Meranjat Riu Pramuka,-5.3755012,105.2227445,"J6FF+Q3X, Jl. Pramuka, Rajabasa, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35151 ","4,3 bintang ","4,3
(1.227)
·Rp 25–75 rb",,..\images-wisata-lampung\20250816_002328_Pindang_Meranjat_Riu_Pramuka.jpg,SUCCESS
Omah Jowo Bandar Lampung,-5.3869734,105.2243882,"Jl. Inpres II, Langkapura, Kec. Kemiling, Kota Bandar Lampung, Lampung 35151 ","4,6 bintang ","4,6
(347)
·$$",,..\images-wisata-lampung\20250816_002328_Omah_Jowo_Bandar_Lampung.jpg,SUCCESS
RM Saung Desa,-5.4372434,105.2756306,"Jl. KH. Ahmad Dahlan No.97, Kupang Raya, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35226 ","4,5 bintang ","4,5
(1.895)
·$$",,..\images-wisata-lampung\20250816_002328_RM_Saung_Desa.jpg,SUCCESS
CITY KULINER,-5.4169218,105.2856346,"Jl. Ridwan Rais No.9, Kedamaian, Kec. Kedamaian, Kota Bandar Lampung, Lampung 35122 ","4,8 bintang ","4,8
(44)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_CITY_KULINER.jpg,SUCCESS
Bakso Son Haji Sony 1,-5.4234006,105.2513521,"Jl. Wolter Monginsidi No.42 A, Durian Payung, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35214 ","4,3 bintang ","4,3
(11.130)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Bakso_Son_Haji_Sony_1.jpg,SUCCESS
Pondok Indah Makanan Khas Lampung,-5.4262143,105.2705541,"H7FC+G67, Jl. Ir. H. Juanda, Pahoman, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35228 ","4,4 bintang ","4,4
(108)",,..\images-wisata-lampung\20250816_002328_Pondok_Indah_Makanan_Khas_Lampung.jpg,SUCCESS
Mie Khodon,-5.4465025,105.2629835,"Jl. Ikan Bawal No.22, Pesawahan, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35221 ","4,5 bintang ","4,5
(703)
·Rp 1–25.000",,..\images-wisata-lampung\20250816_002328_Mie_Khodon.jpg,SUCCESS
Pasar Mambo,-5.4480877,105.2643979,"Jl. Ikan Tongkol No.24, Pesawahan, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35221 ","4,4 bintang ","4,4
(892)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Pasar_Mambo.jpg,SUCCESS
Warung Jontor Bandar Lampung,-5.3759055,105.2456876,"Jl. ZA. Pagar Alam, Gedong Meneng, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35148 ","4,4 bintang ","4,4
(370)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Warung_Jontor_Bandar_Lampung.jpg,SUCCESS
Sambal Lalap Lampung,-5.4372252,105.265251,"Jl. Diponegoro No.192, Kupang Teba, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35215 ","4,4 bintang ","4,4
(1.252)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Sambal_Lalap_Lampung.jpg,SUCCESS
Mie Lampung II,-5.4206261,105.2584021,"Jl. Raden Intan No.99/3, Enggal, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35118 ","4,5 bintang ","4,5
(1.131)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Mie_Lampung_II.jpg,SUCCESS
Sate Luwes Way Halim,-5.3859035,105.269251,"Jl. Ki Maja No.39, Kedaton, Kec. Way Halim, Kota Bandar Lampung, Lampung 35132 ","4,4 bintang ","4,4
(807)
·Rp 25–50 rb",,..\images-wisata-lampung\20250816_002328_Sate_Luwes_Way_Halim.jpg,SUCCESS
Pindang Riu,-5.4026844,105.2819331,"Jl. P. Antasari, Tj. Baru, Kec. Kedamaian, Kota Bandar Lampung, Lampung 35133 ","4,4 bintang ","4,4
(1.988)
·Rp 25–75 rb",,..\images-wisata-lampung\20250816_002328_Pindang_Riu.jpg,SUCCESS
Kampoeng Bamboe Restoran dan Homestay,-5.3839998,105.2783111,"Jalan Griya Utama No. 57, Way Halim Permai, Way Halim, Sukarame, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35135 ","4,4 bintang ","4,4
(2.772)
·$$·",,..\images-wisata-lampung\20250816_002328_Kampoeng_Bamboe_Restoran_dan_Homestay.jpg,SUCCESS
