Nama Lokasi,Latitude,Longitude,Alamat,Rating,Deskripsi,Jam Operasional,Image_Path,Image_Status
Air Terjun Ciupang,-5.5885654,105.0204935,"C27F+7MX, Sumber Jaya, Kecamatan way ratai, Kabupaten Pesawaran, Lampung 35451 ","4,4 bintang ","4,4
(263)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_Ciupang.jpg,SUCCESS
Puncak Bukit Cendana Pesawaran,-5.5399929,105.1077046,"Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451 ","4,6 bintang ","4,6
(299)",,..\images-wisata-lampung\20250816_002328_Puncak_Bukit_Cendana_Pesawaran.jpg,SUCCESS
Pantai Bensam 2,-5.5774841,105.2044988,"Batumenyan, Jl. Way Ratai, Kec. Teluk Pandan, Kabupaten Pesawaran, Lampung 35450 ","4,6 bintang ","4,6
(123)",,..\images-wisata-lampung\20250816_002328_Pantai_Bensam_2.jpg,SUCCESS
Punggung naga Sidoharjo pesawaran indah,-5.5418931,105.0950546,"F35W+62V, Unnamed Road, Pesawaran Indah, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ","4,6 bintang ","4,6
(41)",,..\images-wisata-lampung\20250816_002328_Punggung_naga_Sidoharjo_pesawaran_indah.jpg,SUCCESS
Air terjun TALANG RABUN,-5.4960797,105.1607895,"G546+Q9, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451 ","4,7 bintang ","4,7
(66)",,..\images-wisata-lampung\20250816_002328_Air_terjun_TALANG_RABUN.jpg,SUCCESS
Puncak Punggung Naga Sukmo Ilang Pesawaran Indah,-5.5317182,105.0957992,"Sidoharjo Desa, Pesawaran Indah, Way Ratai, Kabupaten Pesawaran, Lampung 35451 ","4,9 bintang ","4,9
(39)",,..\images-wisata-lampung\20250816_002328_Puncak_Punggung_Naga_Sukmo_Ilang_Pesawaran_Indah.jpg,SUCCESS
Air Terjun Sinar Tiga(Sukma ilang),-5.530335,105.1034834,"F493+V99, Jl. Sinar Tiga, Harapan Jaya, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ","4,7 bintang ","4,7
(83)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_Sinar_TigaSukma_ilang.jpg,SUCCESS
Air Terjun Lubuk Law,-5.5212395,105.1876062,"Jl. Raya Way Ratay, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ","4,8 bintang ","4,8
(33)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_Lubuk_Law.jpg,SUCCESS
Tahura Wan Abdul Rachman (Gunung Betung),-5.4369481,105.1570949,"H574+6RH, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35366 ","4,4 bintang ","4,4
(131)",,..\images-wisata-lampung\20250816_002328_Tahura_Wan_Abdul_Rachman_Gunung_Betung.jpg,SUCCESS
Air Terjun Gunung Betung,-5.422454,105.1484702,"H4HX+299, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung ","4,6 bintang ","4,6
(63)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_Gunung_Betung.jpg,SUCCESS
Air Terjun Anglo,-5.5356366,105.0697182,"F379+PVW, Gn. Rejo, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ","4,4 bintang ","4,4
(504)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_Anglo.jpg,SUCCESS
WAY MIOS gunung batu,-5.4397252,105.0969334,"Dusun g.batu, Pampangan, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35368 ","4,5 bintang ","4,5
(244)",,..\images-wisata-lampung\20250816_002328_WAY_MIOS_gunung_batu.jpg,SUCCESS
Air terjun Batu lapis,-5.4946931,105.1587631,"G545+4GC, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451 ","4,6 bintang ","4,6
(9)",,..\images-wisata-lampung\20250816_002328_Air_terjun_Batu_lapis.jpg,SUCCESS
Pantai Ketapang Pesawaran,-5.5908088,105.2346213,"C65M+MRH, Jl. Way Ratai, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ","4,2 bintang ","4,2
(130)",,..\images-wisata-lampung\20250816_002328_Pantai_Ketapang_Pesawaran.jpg,SUCCESS
BUMI PERKEMAHAN BUKIT CENDANA PESAWARAN (WARUNG TORIQ SEWA ALAT CAMPING,-5.5418677,105.1130227,"Bukit Cendana harapan jaya wayratai, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung ","3,0 bintang ","3,0
(3)",,..\images-wisata-lampung\20250816_002328_BUMI_PERKEMAHAN_BUKIT_CENDANA_PESAWARAN_WARUNG_TORIQ_SEWA_ALAT_CAMPING_placeholder.jpg,SUCCESS
Puncak Gunung Betung,-5.4420937,105.160132,"H556+536, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35366 ","4,9 bintang ","4,9
(27)",,..\images-wisata-lampung\20250816_002328_Puncak_Gunung_Betung.jpg,SUCCESS
Dermaga Wisata Ketapang,-5.5879785,105.2281651,"desa, batu menyan, Kabupaten Pesawaran, Lampung 35450 ","4,7 bintang ","4,7
(389)",,..\images-wisata-lampung\20250816_002328_Dermaga_Wisata_Ketapang.jpg,SUCCESS
Desa Talang Mulya TAHURA WAR,-5.4618194,105.1887562,"Jl. Khadin Tihang, Hurun, Teluk Pandan, Kabupaten Pesawaran, Lampung 35450 ","4,4 bintang ","4,4
(166)",,..\images-wisata-lampung\20250816_002328_Desa_Talang_Mulya_TAHURA_WAR.jpg,SUCCESS
Pantai Batu Mandi,-5.5775974,105.2007355,"C6C2+X79, Batumenyan, Kecamatan Teluk Pandan, Kabupaten Pesawaran, Lampung 35351 ","4,1 bintang ","4,1
(458)",,..\images-wisata-lampung\20250816_002328_Pantai_Batu_Mandi.jpg,SUCCESS
Pantai Bensam Lampung,-5.578379,105.2005472,"Jl. Way Ratai, Kabupaten Pesawaran, Lampung 35369 ","4,8 bintang ","4,8
(1.193)",,..\images-wisata-lampung\20250816_002328_Pantai_Bensam_Lampung.jpg,SUCCESS
Pulau Kelagian Lunik,-5.6433977,105.2325189,"964M+J2R, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung ","4,7 bintang ","4,7
(954)",,..\images-wisata-lampung\20250816_002328_Pulau_Kelagian_Lunik.jpg,SUCCESS
Pantai Cakra,-5.5774841,105.2044988,"C6F3+2Q5, Batumenyan, Jl. Way Ratai, Kec. Teluk Pandan, Kabupaten Pesawaran, Lampung 35450 ","4,6 bintang ","4,6
(17)",,..\images-wisata-lampung\20250816_002328_Pantai_Cakra.jpg,SUCCESS
Pantai Klara Lampung,-5.5799026,105.2131419,"Jl. Way Ratai No.99, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ","4,4 bintang ","4,4
(3.638)",,..\images-wisata-lampung\20250816_002328_Pantai_Klara_Lampung.jpg,SUCCESS
Air Terjun Seribu Mimpi,-5.4781592,105.1625017,"G5C7+P2, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung ","4,0 bintang ","4,0
(4)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_Seribu_Mimpi.jpg,SUCCESS
Air Terjun S'Nyuman Pesawaran Indah,-5.5278695,105.0930765,"Way Ratai, Kec. Kedondong, Kabupaten Pesawaran, Lampung 35451 ","4,2 bintang ","4,2
(16)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_SNyuman_Pesawaran_Indah.jpg,SUCCESS
