Nama Lokasi,Latitude,Longitude,Alamat,Rating,Deskripsi,Jam Operasional,Image_Path,Image_Status
Pantai Pasir Putih Lampung,-5.5302939,105.3575563,"Rangai Tri Tunggal, Kec. Katibung, Kabupaten Lampung Selatan, Lampung 35452 ","4,0 bintang ","4,0
(2.310)",,..\images-wisata-lampung\20250816_002328_Pantai_Pasir_Putih_Lampung.jpg,SUCCESS
Pantai Marina Kalianda,-5.6818636,105.5156833,"Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,5 bintang ","4,5
(2.252)",,..\images-wisata-lampung\20250816_002328_Pantai_Marina_Kalianda.jpg,SUCCESS
Pantai Ketang,-5.7113763,105.5682214,"Way Urang, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,4 bintang ","4,4
(746)",,..\images-wisata-lampung\20250816_002328_Pantai_Ketang.jpg,SUCCESS
Pantai Tapak Kera,-5.6861917,105.5170519,"Merak Belantung, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,3 bintang ","4,3
(307)",,..\images-wisata-lampung\20250816_002328_Pantai_Tapak_Kera.jpg,SUCCESS
Pantai Sebalang,-5.584114,105.3803637,"Jl. Patih Canggih, Kec. Katibung, Kabupaten Lampung Selatan, Lampung 35452 ","4,4 bintang ","4,4
(926)",,..\images-wisata-lampung\20250816_002328_Pantai_Sebalang.jpg,SUCCESS
Pantai Tanjung Selaki,-5.5584962,105.3678869,"Tarahan, Katibung, Kabupaten Lampung Selatan, Lampung 35452 ","4,2 bintang ","4,2
(336)",,..\images-wisata-lampung\20250816_002328_Pantai_Tanjung_Selaki.jpg,SUCCESS
Pantai Canti Kalianda,-5.7947148,105.5847758,"Canti, Rajabasa, Kabupaten Lampung Selatan, Lampung 35552 ","4,4 bintang ","4,4
(247)",,..\images-wisata-lampung\20250816_002328_Pantai_Canti_Kalianda.jpg,SUCCESS
Pantai Kedu Kalianda,-5.722807,105.58097,"Way Urang, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,4 bintang ","4,4
(720)",,..\images-wisata-lampung\20250816_002328_Pantai_Kedu_Kalianda.jpg,SUCCESS
Pantai Bagus Kalianda,-5.6673667,105.5558626,"Merak Belantung, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,0 bintang ","4,0
(624)",,..\images-wisata-lampung\20250816_002328_Pantai_Bagus_Kalianda.jpg,SUCCESS
"Pantai Masin, Kalianda, Lampung Selatan",-5.6849573,105.5590308,"8H85+2J6, Pantai Masin, Kec. Kalianda, Kabupaten Lampung Selatan, 35551 ","4,4 bintang ","4,4
(22)",,..\images-wisata-lampung\20250816_002328_Pantai_Masin_Kalianda_Lampung_Selatan.jpg,SUCCESS
Pantai Cemara,-5.6857183,105.529603,"8G8H+4V5, Merak Belantung, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,7 bintang ","4,7
(347)",,..\images-wisata-lampung\20250816_002328_Pantai_Cemara.jpg,SUCCESS
Dermaga Bom Kalianda,-5.7432737,105.5882592,"Kabupaten Lampung Selatan, Lampung 35551 ","4,2 bintang ","4,2
(2.204)",,..\images-wisata-lampung\20250816_002328_Dermaga_Bom_Kalianda.jpg,SUCCESS
Pantai Semukuk,-5.7619913,105.5876704,"Jl. Pesisir, Pauh Tj. Iman, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,5 bintang ","4,5
(621)",,..\images-wisata-lampung\20250816_002328_Pantai_Semukuk.jpg,SUCCESS
Pantai Sapenan,-5.6703463,105.5357536,"Java Sea, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,1 bintang ","4,1
(301)",,..\images-wisata-lampung\20250816_002328_Pantai_Sapenan.jpg,SUCCESS
Pantai Teluk Nipah Kalianda,-5.6693994,105.5026635,"Bulok, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,3 bintang ","4,3
(74)",,..\images-wisata-lampung\20250816_002328_Pantai_Teluk_Nipah_Kalianda.jpg,SUCCESS
Kawasan Wisata Pantai Maja,-5.7551292,105.5858009,"Jl. Pesisir No.484, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,6 bintang ","4,6
(62)",,..\images-wisata-lampung\20250816_002328_Kawasan_Wisata_Pantai_Maja.jpg,SUCCESS
Pantai KeduWarna,-5.7185983,105.5770257,"Way Urang, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,4 bintang ","4,4
(469)",,..\images-wisata-lampung\20250816_002328_Pantai_KeduWarna.jpg,SUCCESS
PANTAI KEDU WARNA,-5.717805,105.577505,"Jl. Sinar Laut, Way Urang, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,5 bintang ","4,5
(354)",,..\images-wisata-lampung\20250816_002328_PANTAI_KEDU_WARNA.jpg,SUCCESS
Pantai Merak Belantung,-5.6802532,105.5315013,"Merak Belantung, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,2 bintang ","4,2
(120)",,..\images-wisata-lampung\20250816_002328_Pantai_Merak_Belantung.jpg,SUCCESS
Pantai Indah Krakatoa,-5.6682567,105.5453361,"Jl. H. Abdul Muthalib, Merak Belantung, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,2 bintang ","4,2
(78)",,..\images-wisata-lampung\20250816_002328_Pantai_Indah_Krakatoa.jpg,SUCCESS
Pantai Pasir Putih,-5.529222,105.3554706,"F9C4+859, Pantai Pasir Putih Lampung, Rangai Tri Tunggal, Kec. Katibung, Kabupaten Lampung Selatan, Lampung 35452 ","4,4 bintang ","4,4
(220)",,..\images-wisata-lampung\20250816_002328_Pantai_Pasir_Putih_Lampung.jpg,SUCCESS
PANTAI MUARA INDAH SUAK,-5.6462449,105.4665915,"Suak, Kec. Sidomulyo, Kabupaten Lampung Selatan, Lampung ","4,1 bintang ","4,1
(252)",,..\images-wisata-lampung\20250816_002328_PANTAI_MUARA_INDAH_SUAK.jpg,SUCCESS
Pantai Aruna,-5.6675381,105.54534,"Dusun Muing, Kec. Kalianda, Lampung 35551 ","4,5 bintang ","4,5
(197)",,..\images-wisata-lampung\20250816_002328_Pantai_Aruna.jpg,SUCCESS
Pantai Payang,-5.6836819,105.5311234,"Merak Belantung, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,2 bintang ","4,2
(56)",,..\images-wisata-lampung\20250816_002328_Pantai_Payang.jpg,SUCCESS
Pantai Setigi Heni,-5.7898231,105.5813092,"Canggung, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35552 ","4,7 bintang ","4,7
(1.573)",,..\images-wisata-lampung\20250816_002328_Pantai_Setigi_Heni.jpg,SUCCESS
