Nama Lokasi,Latitude,Longitude,Alamat,Rating,Deskripsi,Jam Operasional,Image_Path,Image_Status
Pantai Mandiri,-5.2509606,103.9725957,"Balai Kencana, Kec. Krui Sel., Kabupaten Pesisir Barat, Lampung ","4,5 bintang ","4,5
(424)",,..\images-wisata-lampung\20250816_002328_Pantai_Mandiri.jpg,SUCCESS
Pantai krui,-5.1860354,103.9312491,"RW7J+HFQ, Ps. Krui, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874 ","4,6 bintang ","4,6
(379)",,..\images-wisata-lampung\20250816_002328_Pantai_krui.jpg,SUCCESS
Labuhan Jukung Krui Lampung,-5.1901781,103.9316371,"Kp. Jawa, Kec. Pesisir Tengah, Kabupaten Lampung Barat, Lampung 34874 ","4,5 bintang ","4,5
(2.672)",,..\images-wisata-lampung\20250816_002328_Labuhan_Jukung_Krui_Lampung.jpg,SUCCESS
Pantai Pasir Putih Pesisir Barat,-5.3722534,104.0490675,"J2HX+4H, Marang, Kabupaten Lampung Barat, Lampung ","4,8 bintang ","4,8
(5)",,..\images-wisata-lampung\20250816_002328_Pantai_Pasir_Putih_Pesisir_Barat.jpg,SUCCESS
Pantai Labuhan Jukung,-5.1909103,103.9310314,"Kp. Jawa, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874 ","4,5 bintang ","4,5
(2.341)",,..\images-wisata-lampung\20250816_002328_Pantai_Labuhan_Jukung.jpg,SUCCESS
Pantai Tembakak Krui,-5.1042461,103.8640447,"VVW7+8J3, Jl. Lintas Barat Sumatera, Way Sindi Utara, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung ","4,4 bintang ","4,4
(270)",,..\images-wisata-lampung\20250816_002328_Pantai_Tembakak_Krui.jpg,SUCCESS
Pantai Negri Tanumbang Krui,-5.0314723,103.7677628,"Jl. Khalipah Alam, Pesisir Barat, Lampung 34876 ","4,4 bintang ","4,4
(26)",,..\images-wisata-lampung\20250816_002328_Pantai_Negri_Tanumbang_Krui.jpg,SUCCESS
Pantai Melasti,-5.3906977,104.0637871,"Jl. Bengkunat - Krui, Marang, Kec. Pesisir Sel., Kabupaten Lampung Barat, Lampung 34875 ","4,5 bintang ","4,5
(263)",,..\images-wisata-lampung\20250816_002328_Pantai_Melasti.jpg,SUCCESS
Pantai Walur,-5.2156893,103.902526,"Walur, Kec. Krui Sel., Kabupaten Lampung Barat, Lampung 34874 ","4,6 bintang ","4,6
(148)",,..\images-wisata-lampung\20250816_002328_Pantai_Walur.jpg,SUCCESS
Pantai Tanjung Setia,-5.3147083,103.9937439,"Jl. Bengkunat - Krui, Tj. Setia, Kec. Pesisir Sel., Kabupaten Pesisir Barat, Lampung 34875 ","4,6 bintang ","4,6
(249)",,..\images-wisata-lampung\20250816_002328_Pantai_Tanjung_Setia.jpg,SUCCESS
