Nama Lokasi,Latitude,Longitude,Alamat,Rating,Deskripsi,Jam Operasional,Image_Path,Image_Status
Danau Way Jepara,-5.2029426,105.6640737,"Jalan Simpang Danau, Sumberjo, Kec. Way Jepara, Kabupaten Lampung Timur, Lampung 34396 ","4,3 bintang ","4,3
(106)",,..\images-wisata-lampung\20250816_002328_Danau_Way_Jepara.jpg,SUCCESS
Taman Wisata Seni dan Budaya RANDU MAS,-5.2994739,105.5665973,"PH28+6J9, Jl. Jenderal Sudirman, Pugung Raharjo, Kec. Sekampung Udik, Kabupaten Lampung Timur, Lampung 34384 ","4,3 bintang ","4,3
(128)",,..\images-wisata-lampung\20250816_002328_Taman_Wisata_Seni_dan_Budaya_RANDU_MAS.jpg,SUCCESS
Taman Purbakala Pugungraharjo,-5.3008466,105.5712312,"MHXC+MF9, Pugung Raharjo, Kec. Sekampung Udik, Kabupaten Lampung Timur, Lampung 34384 ","4,4 bintang ","4,4
(500)",,..\images-wisata-lampung\20250816_002328_Taman_Purbakala_Pugungraharjo.jpg,SUCCESS
Kolam Renang Pitaloka,-5.0451215,105.3630458,"X937+X63, Wono Sari, Kec. Pekalongan, Kabupaten Lampung Timur, Lampung 34391 ","4,1 bintang ","4,1
(426)",,..\images-wisata-lampung\20250816_002328_Kolam_Renang_Pitaloka.jpg,SUCCESS
GOA PANDAN GIRI MULYO,-5.3910786,105.6697373,"JM59+HV9, Giri Mulyo, Kec. Marga Sekapung, Kabupaten Lampung Timur, Lampung 34384 ","4,3 bintang ","4,3
(68)",,..\images-wisata-lampung\20250816_002328_GOA_PANDAN_GIRI_MULYO.jpg,SUCCESS
Bawang Putih Mekarsari Lampung Timur,-5.1268645,105.498324,"VFFX+784, Mekar Sari, Kec. Sekampung, Kabupaten Lampung Timur, Lampung 34382 ","4,1 bintang ","4,1
(28)",,..\images-wisata-lampung\20250816_002328_Bawang_Putih_Mekarsari_Lampung_Timur.jpg,SUCCESS
Taman Wisata Beringin Indah,-5.0687706,105.5153758,"WGJ8+F5R, Negara Nabung, Kec. Sukadana, Kabupaten Lampung Timur, Lampung 34194 ","4,3 bintang ","4,3
(22)",,..\images-wisata-lampung\20250816_002328_Taman_Wisata_Beringin_Indah.jpg,SUCCESS
WISATA WANABA,-5.0688397,105.6259171,"WJJG+F97, Sukadana Tim., Kec. Sukadana, Kabupaten Lampung Timur, Lampung 34194 ","4,4 bintang ","4,4
(23)",,..\images-wisata-lampung\20250816_002328_WISATA_WANABA.jpg,SUCCESS
Kolam Megalitik Pugung Raharjo,-5.3018752,105.5720358,"MHXC+6RV, Taman Purbakala, Pugung Raharjo, Kec. Sekampung Udik, Kabupaten Lampung Timur, Lampung ","4,8 bintang ","4,8
(4)",,..\images-wisata-lampung\20250816_002328_Kolam_Megalitik_Pugung_Raharjo.jpg,SUCCESS
Wisata Alam Guruh Sampang,-5.300404,105.5480743,"Gn. Pasir Jaya, Kec. Sekampung Udik, Kabupaten Lampung Timur, Lampung 34183 ","4,6 bintang ","4,6
(22)",,..\images-wisata-lampung\20250816_002328_Wisata_Alam_Guruh_Sampang.jpg,SUCCESS
