Nama Lokasi,Latitude,Longitude,Alamat,Rating,Deskripsi,Jam Operasional,Image_Path,Image_Status
Wisata religi petilasan bukit hanura,-5.1028926,105.0850338,"V3WP+R2V, Tj. Jaya, Kec. Bangun Rejo, Kabupaten Lampung Tengah, Lampung 34173 ","5,0 bintang ","5,0
(1)",,..\images-wisata-lampung\20250816_002328_Wisata_religi_petilasan_bukit_hanura.jpg,SUCCESS
WDM WISATA RELIGI TUBAGUS SULAIMAN,-5.8368105,105.628153,"5J7H+77C, Waymuli, Rajabasa, Kabupaten Lampung Selatan, Lampung 35552 ","5,0 bintang ","5,0
(5)",,..\images-wisata-lampung\20250816_002328_WDM_WISATA_RELIGI_TUBAGUS_SULAIMAN.png,SUCCESS
GUA MARIA PEREMPUAN UNTUK SEMUA MANUSIA,-5.3508752,104.949647,"Pajaresuk Kec., Jl. Raya Sampang No.16, Fajar Esuk, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373 ","4,7 bintang ","4,7
(458)",,..\images-wisata-lampung\20250816_002328_GUA_MARIA_PEREMPUAN_UNTUK_SEMUA_MANUSIA.jpg,SUCCESS
Wisata religi Tubagus syarian,-5.4240908,105.3544493,"H9G3+HJX, Kali Asin, Kec. Tj. Bintang, Kabupaten Lampung Selatan, Lampung 35361 ","5,0 bintang ","5,0
(1)",,..\images-wisata-lampung\20250816_002328_Wisata_religi_Tubagus_syarian.jpg,SUCCESS
Vihara Thay Hin Bio,-5.4487326,105.263158,"Jalan Ikan Kakap No. 35, Pesawahan, Teluk Betung Selatan, Pesawahan, Bandar Lampung, Kota Bandar Lampung, Lampung ","4,8 bintang ","4,8
(415)",,..\images-wisata-lampung\20250816_002328_Vihara_Thay_Hin_Bio.jpg,SUCCESS
Masjid Agung Al-Furqan Bandar Lampung,-5.4294442,105.2603088,"Jl. Diponegoro, Gulak Galik, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212 ","4,8 bintang ","4,8
(5.338)",,..\images-wisata-lampung\20250816_002328_Masjid_Agung_Al-Furqan_Bandar_Lampung.jpg,SUCCESS
Makam Waliyullah Mbah Raden Atmo Legono,-5.3081207,105.0609721,"M3R6+Q95, Dusun Komering, Lumbi Rejo, Kec. Negeri Katon, Kabupaten Pesawaran, Lampung ","5,0 bintang ","5,0
(7)",,..\images-wisata-lampung\20250816_002328_Makam_Waliyullah_Mbah_Raden_Atmo_Legono.jpg,SUCCESS
Wisata Religi,-5.4655499,105.0122068,"G2M6+QVP, Gg. Sawah, Pesawaran, Kec. Kedondong, Kabupaten Pesawaran, Lampung 35368 ",,Pemakaman,,..\images-wisata-lampung\20250816_002328_Wisata_religi_petilasan_bukit_hanura.jpg,SUCCESS
Makam waliyulloh syekh Ali puro Lampung timur,-4.9846684,105.3362378,"288P+4FQ, Purwosari, Kec. Batanghari Nuban, Kabupaten Lampung Timur, Lampung 34384 ","5,0 bintang ","5,0
(1)",,..\images-wisata-lampung\20250816_002328_Makam_waliyulloh_syekh_Ali_puro_Lampung_timur.jpg,SUCCESS
Makam KH. Ghalib,-5.3475089,104.9722863,"Jl. Makam KH. Ghalib, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373 ","4,5 bintang ","4,5
(41)",,..\images-wisata-lampung\20250816_002328_Makam_KH_Ghalib.jpg,SUCCESS
WISATA EDUKASI SANTRI LAMPUNG,-4.9816398,105.3140021,"2897+8JR, Kota Gajah, Kec. Kota Gajah, Kabupaten Lampung Tengah, Lampung 34153 ","4,0 bintang ","4,0
(3)",,..\images-wisata-lampung\20250816_002328_WISATA_EDUKASI_SANTRI_LAMPUNG.jpg,SUCCESS
Goa Maria Pajar Mataram,-4.8567173,105.3149793,"48V7+8X9, Fajar Mataram, Kec. Seputih Mataram, Kabupaten Lampung Tengah, Lampung 34164 ","4,4 bintang ","4,4
(31)",,..\images-wisata-lampung\20250816_002328_Goa_Maria_Pajar_Mataram.jpg,SUCCESS
Makam Pahlawan Nasional Raden Intan II & Benteng Cempaka,-5.7676585,105.6912185,"Gedungharta, Kec. Penengahan, Kabupaten Lampung Selatan, Lampung 35592 ","4,6 bintang ","4,6
(369)",,..\images-wisata-lampung\20250816_002328_Makam_Pahlawan_Nasional_Raden_Intan_II_Benteng_Cempaka.jpg,SUCCESS
Air Terjun Lembah Pelangi Ulu Belu,-5.33334,104.5459109,"MG8W+M97, Sukamaju, Kec. Ulubelu, Kabupaten Tanggamus, Lampung 35686 ","4,5 bintang ","4,5
(485)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_Lembah_Pelangi_Ulu_Belu.jpg,SUCCESS
Masjid Apung Ringgung,-5.5563737,105.2547695,"C7V3+FW2, Lepas Pantai Sari Ringgung, Hanura, Padang Cermin, Pesawaran, Kabupaten Pesawaran, Lampung 35451 ","4,7 bintang ","4,7
(117)",,..\images-wisata-lampung\20250816_002328_Masjid_Apung_Ringgung.jpg,SUCCESS
Air Terjun Ciupang,-5.5885654,105.0204935,"C27F+7MX, Sumber Jaya, Kecamatan way ratai, Kabupaten Pesawaran, Lampung 35451 ","4,4 bintang ","4,4
(263)",,..\images-wisata-lampung\20250816_002328_Air_Terjun_Ciupang.jpg,SUCCESS
Rumah Retret La Verna,-5.3522153,104.9504104,"JXX2+457, Fajar Esuk, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373 ","4,8 bintang ","4,8
(156)",,..\images-wisata-lampung\20250816_002328_Rumah_Retret_La_Verna.jpg,SUCCESS
Makam Ratu Darah Putih Kalianda,-5.718216,105.6854668,"7MJP+P58, Kuripan, Kec. Penengahan, Kabupaten Lampung Selatan, Lampung 35592 ","4,4 bintang ","4,4
(70)",,..\images-wisata-lampung\20250816_002328_Makam_Ratu_Darah_Putih_Kalianda.jpg,SUCCESS
Masjid Jami' Al-Anwar Teluk Betung,-5.4502729,105.2631168,"Jalan Laksamana Malahayati No. 100, Kangkung, Teluk Betung Selatan, Pesawahan, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung ","4,7 bintang ","4,7
(137)",,..\images-wisata-lampung\20250816_002328_Masjid_Jami_Al-Anwar_Teluk_Betung.jpg,SUCCESS
Kelenteng Senapati Panjang,-5.4746823,105.3220711,"Jl. Yos Sudarso No.1, Panjang Sel., Kec. Panjang, Kota Bandar Lampung, Lampung 35243 ","4,5 bintang ","4,5
(25)",,..\images-wisata-lampung\20250816_002328_Kelenteng_Senapati_Panjang.jpg,SUCCESS
Taman Makam Pahlawan Kesuma Bangsa,-5.7231804,105.5923596,"7HGR+PWH, Jl. Kolonel Makmun Rasyid, Way Urang, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551 ","4,7 bintang ","4,7
(16)",,..\images-wisata-lampung\20250816_002328_Taman_Makam_Pahlawan_Kesuma_Bangsa.jpg,SUCCESS
Pintu Langit 2,-5.4687974,105.2420625,"G6JR+FRM Emeralg residence, Sukamaju, Kec. Tlk. Betung Bar., Kota Bandar Lampung, Lampung ","4,4 bintang ","4,4
(211)",,..\images-wisata-lampung\20250816_002328_Pintu_Langit_2.jpg,SUCCESS
Makam Tuan kiai Wali Wenang,-5.30742,105.5258321,"MGVG+28P, Gn. Agung, Kec. Sekampung Udik, Kabupaten Lampung Timur, Lampung 34384 ","4,9 bintang ","4,9
(15)",,..\images-wisata-lampung\20250816_002328_Makam_Tuan_kiai_Wali_Wenang.jpg,SUCCESS
Bukit AsLan,-5.4185311,105.3113883,"Jl. Bukit Aslan No.2, Way Gubak, Sukabumi, Bandar Lampung City, Lampung 35244 ","4,5 bintang ","4,5
(1.516)",,..\images-wisata-lampung\20250816_002328_Bukit_AsLan.jpg,SUCCESS
Vihara Amurwa Bhumi Graha,-5.446287,105.264053,"Jl. Ikan Bawal No.09 / 52, Pesawahan, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35221 ","4,8 bintang ","4,8
(151)",,..\images-wisata-lampung\20250816_002328_Vihara_Amurwa_Bhumi_Graha.jpg,SUCCESS
