Nama Lokasi,Latitude,Longitude,Alamat,Deskripsi,Kategori,Kategori_ID,Confidence_Score,Manual_Review
Kampung Kecil Lampung,-5.4287682,105.2755746,"Jl. Gatot Subroto No.40, Pahoman, Engal, Kota Bandar Lampung, Lampung 35213 ",,budaya,2,1.0,False
Nasi Uduk Toha Kartini,-5.4117801,105.2562781,"Jl. Kartini No.105, Tj. Karang, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35127 ",,budaya,2,1.0,False
RM. Mbok Wito Way Halim,-5.3866609,105.2814758,"Jl. Arif Rahman Hakim No.16, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,True
Alas Cobek - Restoran Keluarga & Nasi Kotak,-5.4257636,105.2513562,"Jl. Wolter Monginsidi No.67, Pengajaran, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212 ",,kuliner,4,1.0,False
EWOK KULINER LAMPUNG Rating Tertinggi,-5.3988061,105.2073356,"Jl. Teuku cik ditiro, Jl. Cikditiro Jl. Perum Wismamas No.11 blok G2, Kota Bandar Lampung, Lampung 35158 ",,kuliner,4,1.0,False
Skaye Lampung Cafe and Resto,-5.4122384,105.2636028,"Jl. Bukit Randu, Kb. Jeruk, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35121 ",,kuliner,4,1.0,False
Waroeng Diggers,-5.4333834,105.2746925,"Komplek Besi Baja, Jl. Way Sungkai, Pahoman, Engal, Kota Bandar Lampung, Lampung 35213 ",,kuliner,4,1.0,True
Rumah Makan New LG Pahoman,-5.4268278,105.2677761,"Jl. Way Sekampung No.1, Rw. Laut, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35213 ",,kuliner,4,1.0,False
Kuliner Jogja La Rise,-5.3946942,105.2815425,"Jl. Arif Rahman Hakim No.83, Jagabaya III, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,False
Cikwo Kuliner Khas Lampung,-5.3736154,105.2738756,"Kimaja Icon), samping Indomaret, 50m sebelum fly over, Jl. Ki Maja, Sepang Jaya, Labuhan Ratu, Kota Bandar Lampung, Lampung 35132 ",,kuliner,4,1.0,False
Pindang Meranjat Riu Pramuka,-5.3755012,105.2227445,"J6FF+Q3X, Jl. Pramuka, Rajabasa, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35151 ",,kuliner,4,1.0,True
Pondok Indah Makanan Khas Lampung,-5.4262143,105.2705541,"H7FC+G67, Jl. Ir. H. Juanda, Pahoman, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35228 ",,kuliner,4,1.0,False
RM Saung Desa,-5.4372434,105.2756306,"Jl. KH. Ahmad Dahlan No.97, Kupang Raya, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35226 ",,kuliner,4,1.0,True
Randu Resto Lampung,-5.4121327,105.2638397,"2a, Jl. Kamboja No.1, Kb. Jeruk, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35125 ",,kuliner,4,1.0,True
CITY KULINER,-5.4169218,105.2856346,"Jl. Ridwan Rais No.9, Kedamaian, Kec. Kedamaian, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,False
